item_id,source_type,image_path,display_name,description,target_group,recommendation_role,normalized_category,product_family,normalized_color,color_detail,color_tone,normalized_pattern,section_theme,article_id,product_code,product_type_name,product_group_name,index_name,index_group_name,section_name,department_name,garment_group_name,image_relative_path
0382127032,catalog,data/processed/demo_images/038/0382127032.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,green,dark green,dark,solid,sport,382127032,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127032.jpg
0382127035,catalog,data/processed/demo_images/038/0382127035.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,red,dark red,dark,melange,sport,382127035,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127035.jpg
0382127039,catalog,data/processed/demo_images/038/0382127039.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,blue,dark blue,dark,color_block,sport,382127039,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127039.jpg
0382127040,catalog,data/processed/demo_images/038/0382127040.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,sport,382127040,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127040.jpg
0387843034,catalog,data/processed/demo_images/038/0387843034.jpg,Richie Regular Hood,"Long-sleeved top in sweatshirt fabric with a lined, drawstring hood, kangaroo pocket at the front and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,red,red,medium,solid,basics,387843034,387843,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Basics,Jersey Basic,038\0387843034.jpg
0387843035,catalog,data/processed/demo_images/038/0387843035.jpg,Richie Regular Hood,"Long-sleeved top in sweatshirt fabric with a lined, drawstring hood, kangaroo pocket at the front and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,grey,dark grey,dark,melange,basics,387843035,387843,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Basics,Jersey Basic,038\0387843035.jpg
0387843036,catalog,data/processed/demo_images/038/0387843036.jpg,Richie Regular Hood,"Long-sleeved top in sweatshirt fabric with a lined, drawstring hood, kangaroo pocket at the front and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,pink,pink,medium dusty,solid,basics,387843036,387843,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Basics,Jersey Basic,038\0387843036.jpg
0387843037,catalog,data/processed/demo_images/038/0387843037.jpg,Richie Regular Hood,"Long-sleeved top in sweatshirt fabric with a lined, drawstring hood, kangaroo pocket at the front and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,lilac purple,dark purple,dark,solid,basics,387843037,387843,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Basics,Jersey Basic,038\0387843037.jpg
0387843041,catalog,data/processed/demo_images/038/0387843041.jpg,Richie Regular Hood,"Long-sleeved top in sweatshirt fabric with a lined, drawstring hood, kangaroo pocket at the front and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,orange,orange,medium,solid,basics,387843041,387843,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Basics,Jersey Basic,038\0387843041.jpg
0404383012,catalog,data/processed/demo_images/040/0404383012.jpg,Butch hood,"Sports jacket in sturdy jersey with a mesh-lined hood, zip down the front and mesh panels at the back, sides and cuffs. Zipped pocket on one sleeve. Unlined. Size of sleeve pocket 12x16 cm.",men,top,hoodie,upper_body,black,black,dark,solid,sport,404383012,404383,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,040\0404383012.jpg
0407354009,catalog,data/processed/demo_images/040/0407354009.jpg,Jack jersey denim,"Jacket in washed denim with a hood and sleeves in sweatshirt fabric. Collar, jersey-lined drawstring hood, buttons down the front, flap chest pockets with a button and side pockets. Ribbing at the cuffs, and an adjustable tab at the sides of the hem. Unlined.",men,top,hoodie,upper_body,black,black,dark,denim,mens_outerwear,407354009,407354,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,040\0407354009.jpg
0422106001,catalog,data/processed/demo_images/042/0422106001.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,black,black,dark,solid,basics,422106001,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106001.jpg
0422106014,catalog,data/processed/demo_images/042/0422106014.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,grey,grey,medium dusty,melange,basics,422106014,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106014.jpg
0422106015,catalog,data/processed/demo_images/042/0422106015.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,grey,light grey,dusty light,melange,basics,422106015,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106015.jpg
0422106016,catalog,data/processed/demo_images/042/0422106016.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,grey,dark grey,dark,melange,basics,422106016,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106016.jpg
0422106017,catalog,data/processed/demo_images/042/0422106017.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,lilac purple,dark blue,medium dusty,melange,basics,422106017,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106017.jpg
0422106037,catalog,data/processed/demo_images/042/0422106037.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,red,dark red,dark,solid,basics,422106037,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106037.jpg
0422106042,catalog,data/processed/demo_images/042/0422106042.jpg,Hood W Zip,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem. Brushed inside.",men,top,hoodie,upper_body,pink,pink,medium dusty,solid,basics,422106042,422106,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,042\0422106042.jpg
0477163001,catalog,data/processed/demo_images/047/0477163001.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,black,black,dark,solid,casual,477163001,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163001.jpg
0477163010,catalog,data/processed/demo_images/047/0477163010.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,red,red,medium,patterned,casual,477163010,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163010.jpg
0477163013,catalog,data/processed/demo_images/047/0477163013.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,yellow,yellow,dark,solid,casual,477163013,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163013.jpg
0477163015,catalog,data/processed/demo_images/047/0477163015.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,blue,dark blue,dark,color_block,casual,477163015,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163015.jpg
0477163017,catalog,data/processed/demo_images/047/0477163017.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,yellow,yellow,medium,color_block,casual,477163017,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163017.jpg
0477163019,catalog,data/processed/demo_images/047/0477163019.jpg,Shaun (1),"Windbreaker in woven fabric with a mesh-lined, drawstring hood, zip down the front, jetted side pockets and an inner pocket. Sturdy ribbing at the cuffs and hem. Mesh lining.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,casual,477163019,477163,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,047\0477163019.jpg
0497642001,catalog,data/processed/demo_images/049/0497642001.jpg,Espen puffer,"Short, padded jacket in woven fabric with a lined hood with a collar and drawstring, and a zip at the front. Flap side pockets with a press-stud, one inner pocket with a hook and loop fastener and ribbing at the cuffs and hem. Polyester filling. Lined.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,casual,497642001,497642,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,049\0497642001.jpg
0497642002,catalog,data/processed/demo_images/049/0497642002.jpg,Espen puffer,"Short, padded jacket in woven fabric with a lined hood with a collar and drawstring, and a zip at the front. Flap side pockets with a press-stud, one inner pocket with a hook and loop fastener and ribbing at the cuffs and hem. Polyester filling. Lined.",men,top,hoodie,upper_body,brown,dark beige,dark,solid,casual,497642002,497642,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,049\0497642002.jpg
0497642004,catalog,data/processed/demo_images/049/0497642004.jpg,Espen puffer,"Short, padded jacket in woven fabric with a lined hood with a collar and drawstring, and a zip at the front. Flap side pockets with a press-stud, one inner pocket with a hook and loop fastener and ribbing at the cuffs and hem. Polyester filling. Lined.",men,top,hoodie,upper_body,black,black,dark,solid,casual,497642004,497642,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,049\0497642004.jpg
0497642006,catalog,data/processed/demo_images/049/0497642006.jpg,Espen puffer,"Short, padded jacket in woven fabric with a lined hood with a collar and drawstring, and a zip at the front. Flap side pockets with a press-stud, one inner pocket with a hook and loop fastener and ribbing at the cuffs and hem. Polyester filling. Lined.",men,top,hoodie,upper_body,green,dark green,dark,solid,casual,497642006,497642,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,049\0497642006.jpg
0500449010,catalog,data/processed/demo_images/050/0500449010.jpg,Printed Hood,Top in sturdy sweatshirt fabric with a print motif and jersey-lined drawstring hood. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.,men,top,hoodie,upper_body,red,dark red,dark,print,contemporary_street,500449010,500449,Hoodie,Garment Upper body,Menswear,Menswear,Contemporary Street,Jersey Fancy,Jersey Fancy,050\0500449010.jpg
0500449023,catalog,data/processed/demo_images/050/0500449023.jpg,Printed Hood,Top in sturdy sweatshirt fabric with a print motif and jersey-lined drawstring hood. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.,men,top,hoodie,upper_body,green,light green,bright,print,contemporary_street,500449023,500449,Hoodie,Garment Upper body,Menswear,Menswear,Contemporary Street,Jersey Fancy,Jersey Fancy,050\0500449023.jpg
0500449026,catalog,data/processed/demo_images/050/0500449026.jpg,Printed Hood,Top in sturdy sweatshirt fabric with a print motif and jersey-lined drawstring hood. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.,men,top,hoodie,upper_body,black,black,dark,print,contemporary_street,500449026,500449,Hoodie,Garment Upper body,Menswear,Menswear,Contemporary Street,Jersey Fancy,Jersey Fancy,050\0500449026.jpg
0504658002,catalog,data/processed/demo_images/050/0504658002.jpg,Birkir canvas (1),"Short, padded jacket in cotton canvas with a pile-lined drawstring hood, zip down the front and ribbing at the cuffs and hem. Side pockets and one inner pocket with a hook and loop fastener. Quilted lining.",men,top,hoodie,upper_body,brown,dark beige,medium dusty,solid,casual,504658002,504658,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,050\0504658002.jpg
0504658004,catalog,data/processed/demo_images/050/0504658004.jpg,Birkir canvas (1),"Short, padded jacket in cotton canvas with a pile-lined drawstring hood, zip down the front and ribbing at the cuffs and hem. Side pockets and one inner pocket with a hook and loop fastener. Quilted lining.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,casual,504658004,504658,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,050\0504658004.jpg
0504667001,catalog,data/processed/demo_images/050/0504667001.jpg,Reid (1),"Parka in a sturdy weave with a fleece-lined drawstring hood with a faux fur trim, two-way zip down the front and double wind flap with a hook and loop fastening. Concealed zipped pocket under the wind flaps, flap chest and front pockets and one sleeve pocket, all with a hook and loop fastening, fleece-lined handwarmer pockets and one inner pocket. Concealed drawstring at the waist and inner ribbing at the cuffs. Polyester filling. Quilted lining.",men,top,hoodie,upper_body,black,black,dark,solid,casual,504667001,504667,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,050\0504667001.jpg
0504667003,catalog,data/processed/demo_images/050/0504667003.jpg,Reid (1),"Parka in a sturdy weave with a fleece-lined drawstring hood with a faux fur trim, two-way zip down the front and double wind flap with a hook and loop fastening. Concealed zipped pocket under the wind flaps, flap chest and front pockets and one sleeve pocket, all with a hook and loop fastening, fleece-lined handwarmer pockets and one inner pocket. Concealed drawstring at the waist and inner ribbing at the cuffs. Polyester filling. Quilted lining.",men,top,hoodie,upper_body,brown,dark beige,medium dusty,solid,casual,504667003,504667,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,050\0504667003.jpg
0504667005,catalog,data/processed/demo_images/050/0504667005.jpg,Reid (1),"Parka in a sturdy weave with a fleece-lined drawstring hood with a faux fur trim, two-way zip down the front and double wind flap with a hook and loop fastening. Concealed zipped pocket under the wind flaps, flap chest and front pockets and one sleeve pocket, all with a hook and loop fastening, fleece-lined handwarmer pockets and one inner pocket. Concealed drawstring at the waist and inner ribbing at the cuffs. Polyester filling. Quilted lining.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,casual,504667005,504667,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Casual,Outdoor,050\0504667005.jpg
0509893003,catalog,data/processed/demo_images/050/0509893003.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,grey,grey,medium dusty,melange,sport,509893003,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893003.jpg
0509893005,catalog,data/processed/demo_images/050/0509893005.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,black,black,dark,solid,sport,509893005,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893005.jpg
0509893006,catalog,data/processed/demo_images/050/0509893006.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,red,dark red,dark,solid,sport,509893006,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893006.jpg
0509893010,catalog,data/processed/demo_images/050/0509893010.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,green,dark green,dark,solid,sport,509893010,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893010.jpg
0509893011,catalog,data/processed/demo_images/050/0509893011.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,grey,grey,medium dusty,solid,sport,509893011,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893011.jpg
0509893013,catalog,data/processed/demo_images/050/0509893013.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,black,black,dark,print,sport,509893013,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893013.jpg
0509893016,catalog,data/processed/demo_images/050/0509893016.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,black,black,dark,solid,sport,509893016,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893016.jpg
0509893019,catalog,data/processed/demo_images/050/0509893019.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,black,black,dark,print,sport,509893019,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893019.jpg
0509893020,catalog,data/processed/demo_images/050/0509893020.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,grey,grey,medium dusty,print,sport,509893020,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893020.jpg
0509893021,catalog,data/processed/demo_images/050/0509893021.jpg,Chuck Hood,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem.",men,top,hoodie,upper_body,grey,dark grey,dark,patterned,sport,509893021,509893,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Woven,Jersey Fancy,050\0509893021.jpg
0509994001,catalog,data/processed/demo_images/050/0509994001.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,black,dark grey,dark,melange,basics,509994001,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994001.jpg
0509994002,catalog,data/processed/demo_images/050/0509994002.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,black,black,dark,solid,basics,509994002,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994002.jpg
0509994005,catalog,data/processed/demo_images/050/0509994005.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,red,red,bright,solid,basics,509994005,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994005.jpg
0509994009,catalog,data/processed/demo_images/050/0509994009.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,brown,yellowish brown,dark,solid,basics,509994009,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994009.jpg
0509994012,catalog,data/processed/demo_images/050/0509994012.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,green,dark green,dark,solid,basics,509994012,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994012.jpg
0509994014,catalog,data/processed/demo_images/050/0509994014.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,grey,grey,dusty light,melange,basics,509994014,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994014.jpg
0509994017,catalog,data/processed/demo_images/050/0509994017.jpg,ROLAND HOOD,"Top in sweatshirt fabric made from a cotton blend with a jersey-lined drawstring hood, long raglan sleeves and a kangaroo pocket. Ribbing at the cuffs and hem.",men,top,hoodie,upper_body,yellow,dark yellow,dark,solid,basics,509994017,509994,Hoodie,Garment Upper body,Menswear,Menswear,Men Underwear,Jersey Basic,Jersey Basic,050\0509994017.jpg
0510398002,catalog,data/processed/demo_images/051/0510398002.jpg,Yate hood,"Top in sweatshirt fabric with a motif and lined, drawstring hood with a wrapover front. Kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.",men,top,hoodie,upper_body,red,red,bright,print,casual,510398002,510398,Hoodie,Garment Upper body,Menswear,Menswear,Contemporary Casual,Jersey Fancy,Jersey Fancy,051\0510398002.jpg
